thread_count,chunk_size,average_time
10,102918,0.0262461
10,111494,0.0272262
10,120070,0.0279533
10,128647,0.0318123
10,137223,0.0327293
10,145800,0.0338486
10,154376,0.0349518
10,162953,0.0371203
10,171529,0.038493
10,180106,0.0422276
10,188682,0.0430485
10,197259,0.0443322
10,205835,0.0454135
10,214412,0.0494059
10,222988,0.0499737
11,1,0.1650936
11,8576,0.0164211
11,17153,0.0187012
11,25729,0.019239
11,34306,0.0196333
11,42882,0.0211334
11,51459,0.0186963
11,60035,0.0177584
11,68612,0.0188224
11,77188,0.0220664
11,85765,0.021689
11,94341,0.0247153
11,102918,0.0254658
11,111494,0.0276865
11,120070,0.0286932
11,128647,0.0304715
11,137223,0.0323155
11,145800,0.0326307
11,154376,0.0342589
11,162953,0.0366106
11,171529,0.0379798
11,180106,0.0400142
11,188682,0.0418311
11,197259,0.0432586
11,205835,0.0449304
11,214412,0.0465258
11,222988,0.0488504
12,1,0.1583132
12,8576,0.016663
12,17153,0.0181916
12,25729,0.0177829
12,34306,0.0179446
12,42882,0.0213584
12,51459,0.0184198
12,60035,0.0180308
12,68612,0.01803
12,77188,0.0201151
12,85765,0.0218906
12,94341,0.0231008
12,102918,0.0245355
12,111494,0.0278704
12,120070,0.0282121
12,128647,0.031437
12,137223,0.0318227
12,145800,0.0330836
12,154376,0.0348124
12,162953,0.036707
12,171529,0.0386157
12,180106,0.0403245
12,188682,0.0440178
12,197259,0.0444458
12,205835,0.0460371
12,214412,0.0471365
12,222988,0.0499019
13,1,0.1669936
13,8576,0.0167611
13,17153,0.0199422
13,25729,0.0187006
13,34306,0.0189289
13,42882,0.0212938
13,51459,0.0189844
13,60035,0.0176993
13,68612,0.0191914
13,77188,0.0211598
13,85765,0.0224347
13,94341,0.0233294
13,102918,0.0262157
13,111494,0.0274304
13,120070,0.0286963
13,128647,0.0312597
13,137223,0.0317101
13,145800,0.0327608
13,154376,0.0350818
13,162953,0.0371671
13,171529,0.0384129
13,180106,0.0402908
13,188682,0.0422197
13,197259,0.0435351
13,205835,0.0461219
13,214412,0.0477489
13,222988,0.0487939
14,1,0.166692
14,8576,0.0166252
14,17153,0.0203846
14,25729,0.0184383
14,34306,0.0189183
14,42882,0.0238955
14,51459,0.0192997
14,60035,0.0180249
14,68612,0.0197403
14,77188,0.0217947
14,85765,0.0232308
14,94341,0.023813
14,102918,0.0270934
14,111494,0.0280568
14,120070,0.0296604
14,128647,0.0301741
14,137223,0.0323678
14,145800,0.0345201
14,154376,0.035004
14,162953,0.0376431
14,171529,0.0389278
14,180106,0.0409734
14,188682,0.0431482
14,197259,0.0464759
14,205835,0.0465191
14,214412,0.0490653
14,222988,0.0497738
15,1,0.1633707
15,8576,0.0172588
15,17153,0.018699
15,25729,0.0186582
15,34306,0.0175684
15,42882,0.0218102
15,51459,0.0191509
15,60035,0.0174836
15,68612,0.0194738
15,77188,0.0204909
15,85765,0.022091
15,94341,0.024649
15,102918,0.0256218
15,111494,0.0278218
15,120070,0.0289682
15,128647,0.0308471
15,137223,0.0330336
15,145800,0.0340597
15,154376,0.03701
15,162953,0.0383406
15,171529,0.0390588
15,180106,0.0406632
15,188682,0.0430822
15,197259,0.0451983
15,205835,0.0483287
15,214412,0.0482676
15,222988,0.0494634
16,1,0.1630244
16,8576,0.0169401
16,17153,0.0193113
16,25729,0.0182649
16,34306,0.0190516
16,42882,0.0219246
16,51459,0.0195301
16,60035,0.016864
16,68612,0.0194582
16,77188,0.0212317
16,85765,0.0225875
16,94341,0.0241095
16,102918,0.0262219
16,111494,0.0281219
16,120070,0.0285311
16,128647,0.0317473
16,137223,0.0318426
16,145800,0.0341955
16,154376,0.0354924
16,162953,0.0370688
16,171529,0.0390816
16,180106,0.0408077
16,188682,0.0428438
16,197259,0.0451151
16,205835,0.0466849
16,214412,0.0472825
16,222988,0.0494946
