thread_count,chunk_size,average_time
13,2,0.12338059999999998
13,3,0.10822829999999999
13,4,0.0961883
13,7,0.07553299999999999
13,11,0.0547246
13,17,0.039836500000000004
13,28,0.026416600000000002
13,44,0.0197544
13,71,0.0160338
13,114,0.016276
13,183,0.015185899999999999
13,294,0.0150977
13,472,0.015588799999999996
13,758,0.0149089
13,1218,0.014318899999999999
13,1955,0.0140207
13,3140,0.014014200000000001
13,5043,0.0142981
13,8098,0.014290799999999998
13,13004,0.0162501
13,20882,0.015890400000000002
13,33533,0.0169073
13,53848,0.016033099999999998
13,86472,0.020450299999999998
13,138860,0.0307975
13,222988,0.0463005
14,1,0.1436114
14,2,0.12366390000000001
14,3,0.10864549999999999
14,4,0.0954805
14,7,0.07590879999999998
14,11,0.05487660000000001
14,17,0.0394596
14,28,0.0267118
14,44,0.019592299999999997
14,71,0.0165963
14,114,0.016560899999999996
14,183,0.0157459
14,294,0.015777
14,472,0.015624100000000002
14,758,0.0149476
14,1218,0.0148071
14,1955,0.014168699999999998
14,3140,0.013739399999999999
14,5043,0.0144173
14,8098,0.014707900000000001
14,13004,0.0161205
14,20882,0.0160584
14,33533,0.016877
14,53848,0.0161401
14,86472,0.0211471
14,138860,0.0297344
14,222988,0.0464568
15,1,0.1440504
15,2,0.12398920000000002
15,3,0.1089796
15,4,0.0959529
15,7,0.0763826
15,11,0.054367399999999996
15,17,0.039058899999999994
15,28,0.0265577
15,44,0.0200387
15,71,0.0166942
15,114,0.0166589
15,183,0.0160766
15,294,0.015654800000000003
15,472,0.015420299999999998
15,758,0.0145924
15,1218,0.014349
15,1955,0.0143562
15,3140,0.013908400000000001
15,5043,0.0150774
15,8098,0.0147978
15,13004,0.0164354
15,20882,0.015667900000000002
15,33533,0.0170404
15,53848,0.015989299999999998
15,86472,0.021126100000000002
15,138860,0.030299600000000003
15,222988,0.046418400000000005
16,1,0.1445319
16,2,0.12382460000000002
16,3,0.10855079999999999
16,4,0.09631100000000001
16,7,0.0760809
16,11,0.0546242
16,17,0.0396176
16,28,0.027137299999999996
16,44,0.0200269
16,71,0.016902300000000002
16,114,0.017431800000000004
16,183,0.016326399999999998
16,294,0.0164167
16,472,0.015892300000000005
16,758,0.015214700000000001
16,1218,0.014666299999999998
16,1955,0.014438500000000002
16,3140,0.014165899999999999
16,5043,0.014688999999999999
16,8098,0.0148288
16,13004,0.0168303
16,20882,0.0167682
16,33533,0.0166626
16,53848,0.0159237
16,86472,0.021074300000000004
16,138860,0.030772000000000004
16,222988,0.04679219999999999
